42	2 7 7 12	5.3	98.8%	5.68	1.89
43	2 2 3 8	5.31	98.2%	5.72	1.93
44	1 8 8 8	5.32	97.8%	5.66	1.93
45	10 10 12 12	5.32	98.7%	5.75	1.89
46	11 11 11 12	5.32	94.9%	5.6	1.97
47	3 8 13 13	5.33	95%	5.69	2.05
48	1 1 5 5	5.34	99.1%	5.71	1.81
49	1 5 7 12	5.34	98.3%	5.89	2.11
50	2 9 9 12	5.36	97.4%	5.78	2.01
51	3 3 12 12	5.37	98.8%	5.84	2.03
52	9 9 12 12	5.37	98.3%	5.85	2.09
53	8 8 12 12	5.38	98.6%	5.83	1.96
54	1 1 4 5	5.39	97.9%	5.77	2
55	3 8 11 11	5.39	96.1%	5.75	2.08
56	1 6 8 12	5.4	96.9%	5.78	1.99
57	5 6 12 12	5.41	97.2%	5.8	1.81
58	12 12 13 13	5.41	98.6%	5.81	1.92
59	1 3 5 12	5.42	96.5%	5.81	2.11
60	3 8 10 10	5.42	95.6%	5.87	2.23
61	11 12 12 12	5.42	97.8%	5.76	1.88
62	1 1 12 13	5.43	98.8%	5.82	1.85
63	1 9 9 12	5.43	95.6%	5.72	1.77
64	5 5 12 12	5.44	98.7%	5.81	1.74
65	3 8 9 9	5.45	96.9%	5.83	1.97
66	3 4 4 8	5.46	98.4%	5.88	1.94
67	2 3 3 12	5.47	98.5%	5.93	2.04
68	2 5 5 12	5.47	98.8%	5.88	1.98
69	1 4 10 10	5.5	97.9%	5.92	2.09
70	2 12 13 13	5.5	97.2%	5.84	2.01
71	7 7 11 12	5.5	93.6%	5.81	2.08
72	1 1 3 7	5.53	97%	5.84	1.95
73	5 5 11 12	5.53	96.6%	5.89	1.89
74	1 2 5 8	5.54	95.7%	5.95	2.24
75	1 3 4 12	5.54	98.6%	5.96	1.94
76	4 4 12 12	5.54	98.7%	5.96	2.05
77	11 11 11 13	5.54	98.4%	6.08	2.25
78	3 5 5 8	5.56	97%	5.96	2.07
79	1 8 9 12	5.57	96.4%	5.88	1.96
80	6 7 12 12	5.57	95.7%	5.95	2.02
81	1 1 1 13	5.58	97.4%	5.9	1.77
82	2 2 4 6	5.58	99%	5.94	1.9
83	1 3 10 10	5.59	97.5%	5.89	2
84	1 4 7 12	5.59	98.3%	6	2.02
85	2 3 3 8	5.59	96.9%	5.94	1.93
86	2 3 12 12	5.59	97.4%	5.97	1.98
87	1 6 7 12	5.6	98.6%	6	1.98
88	1 3 3 4	5.62	97.6%	5.87	1.77
89	1 1 4 7	5.63	97.1%	5.95	2.06
90	4 6 6 6	5.63	98.3%	6.02	2.06
91	1 8 8 12	5.64	96.4%	5.94	1.91
92	2 7 7 8	5.64	96.9%	5.97	2.02
93	5 5 7 7	5.65	98%	5.99	1.91
94	7 8 12 12	5.65	96.2%	6.1	2.13
95	8 8 11 13	5.65	97%	6.17	2.31
96	1 1 10 13	5.66	98%	6.11	2.2
97	3 7 8 8	5.66	96.1%	6.03	2.04
98	4 5 5 6	5.66	97.4%	6.1	2.11
99	9 9 11 12	5.66	93.9%	5.99	2.12
100	1 1 2 10	5.69	95.8%	5.99	1.83
101	1 2 5 12	5.69	95.6%	6.13	2.19
102	1 7 9 12	5.69	96%	6.1	2.23
103	1 6 9 12	5.71	95.5%	6.07	2.12
104	3 7 7 7	5.71	97.5%	6.04	2.01
105	4 4 11 13	5.71	98.1%	6.3	2.36
106	4 5 11 12	5.71	97.4%	6.1	2.1
107	2 2 2 3	5.72	99%	5.98	1.7
108	3 3 4 6	5.72	97.7%	6.14	2.1
109	3 3 11 12	5.72	94.8%	6.14	2.23
110	1 2 2 10	5.73	96.4%	6.08	2.13
111	1 6 6 11	5.73	98.3%	6.2	2.24
112	2 2 12 12	5.73	98.7%	6.23	2.24
113	1 2 2 12	5.74	97.7%	6.1	1.98
114	3 6 11 11	5.74	94.5%	6.02	2.07
115	4 8 11 11	5.74	95.1%	6.06	1.99
116	1 7 7 10	5.75	97.9%	6.19	2.15
117	12 12 12 13	5.75	97.5%	6.09	1.97
118	3 8 8 8	5.76	97.5%	6.12	2.15
119	2 8 9 9	5.78	96.4%	6.18	2.12
120	4 4 11 12	5.78	91.9%	6.1	2.36
121	2 2 3 12	5.79	98.1%	6.21	2.04
122	8 9 12 12	5.79	96.2%	6.28	2.25
123	1 5 6 12	5.8	98.5%	6.19	2.08
124	4 6 9 9	5.8	96.4%	6.21	2.26
125	6 6 12 12	5.81	98.4%	6.34	2.34
126	3 4 4 6	5.82	97.4%	6.16	1.96
127	1 5 8 8	5.83	94.7%	6.39	2.69
128	6 6 11 13	5.83	97.8%	6.33	2.22
129	9 9 11 13	5.83	96.8%	6.39	2.42
130	1 4 4 12	5.84	95.7%	6.32	2.33
131	7 7 11 13	5.84	97.6%	6.38	2.33
132	3 8 12 13	5.85	96%	6.21	2.18
133	1 4 6 12	5.86	96.7%	6.32	2.48
134	4 6 6 7	5.87	96.5%	6.24	2.1
135	11 13 13 13	5.87	97.8%	6.45	2.45
136	1 8 10 12	5.89	95.6%	6.19	2.16
137	2 4 4 12	5.89	98.4%	6.26	2.14
138	1 4 5 12	5.9	95.9%	6.33	2.32
139	1 4 8 12	5.9	97.5%	6.26	2.18
140	2 10 10 12	5.9	97.1%	6.27	2.27
141	3 4 11 13	5.9	96.5%	6.37	2.35
142	4 6 8 8	5.9	96.8%	6.36	2.27
143	5 6 11 12	5.9	97.3%	6.39	2.25
144	1 3 6 12	5.93	96.7%	6.32	2.21
145	2 4 11 11	5.93	96.3%	6.37	2.35
146	4 5 12 13	5.93	97.6%	6.43	2.15
147	6 6 10 13	5.93	93.8%	6.44	2.65
148	1 3 3 12	5.94	95.5%	6.35	2.32
149	3 6 7 7	5.94	93.4%	6.32	2.4
150	1 12 13 13	5.95	94.3%	6.26	2.15
151	3 8 10 11	5.95	94.5%	6.32	2.38
152	4 6 10 11	5.95	94.5%	6.34	2.39
153	10 10 11 13	5.96	97.6%	6.52	2.35
154	10 11 12 12	5.96	96%	6.3	2.06
155	1 1 3 13	5.97	95.2%	6.36	2.12
156	1 2 11 11	5.97	97.3%	6.46	2.43
157	1 11 11 12	5.97	93.5%	6.21	2.24
158	2 8 8 12	5.97	97.5%	6.51	2.45
159	3 6 6 8	5.97	97.1%	6.38	2.26
160	3 6 13 13	5.97	94.5%	6.2	1.99
161	4 6 10 10	5.97	96.5%	6.35	2.35
162	4 8 10 10	5.97	97.4%	6.39	2.18
163	1 2 4 4	5.99	97.1%	6.33	2.13
164	1 7 8 10	5.99	97.6%	6.42	2.29
165	5 5 5 5	5.99	95.3%	6.42	2.18
166	9 10 12 12	5.99	95.8%	6.3	2.05
167	1 2 6 6	6	97.6%	6.42	2.24
168	1 3 6 8	6.01	95.6%	6.42	2.55
169	1 6 7 10	6.01	98.5%	6.57	2.28
170	2 8 10 10	6.01	95.3%	6.31	2.07
171	3 7 10 10	6.01	97.4%	6.39	2.19
172	4 8 13 13	6.01	94.6%	6.27	1.91
173	1 5 7 11	6.02	98.6%	6.49	2.14
174	4 5 5 5	6.02	97.6%	6.59	2.43
175	1 5 8 12	6.03	98.3%	6.5	2.2
176	1 7 8 9	6.03	97.2%	6.46	2.3
177	1 10 10 12	6.03	92.5%	6.24	2.1
178	2 2 11 13	6.03	98.1%	6.6	2.42
179	1 6 12 12	6.04	94.4%	6.42	2.45
180	1 2 6 12	6.05	96.9%	6.42	2.26
181	1 2 10 12	6.06	97.4%	6.56	2.4
182	3 8 12 12	6.06	96.6%	6.5	2.46
183	1 1 4 4	6.08	94.5%	6.38	2.46
184	1 1 6 6	6.09	97.3%	6.5	2.19
185	1 2 4 8	6.09	96.6%	6.5	2.33
186	3 4 12 12	6.09	94.7%	6.56	2.49
187	3 9 9 9	6.09	97.6%	6.53	2.17
188	4 7 7 8	6.09	93.9%	6.58	2.53
189	1 2 6 8	6.1	96%	6.43	2.33
190	1 3 9 12	6.1	96.4%	6.52	2.37
191	5 6 12 13	6.1	97.4%	6.52	2.19
192	1 1 9 13	6.12	97.3%	6.57	2.49
193	1 6 8 9	6.12	98.2%	6.55	2.36
194	1 7 8 8	6.12	96.8%	6.66	2.67
195	1 1 3 4	6.13	98.1%	6.46	2.06
196	2 11 12 12	6.13	95.5%	6.53	2.27
197	3 3 4 8	6.13	96.3%	6.45	2.13
198	2 8 13 13	6.14	90.4%	6.46	2.6
199	3 8 11 12	6.14	94.3%	6.66	2.69
200	2 2 11 12	6.15	92.5%	6.53	2.55
201	5 5 12 13	6.15	95.6%	6.64	2.17
202	1 7 7 12	6.16	89.1%	6.3	2.34
203	3 3 11 13	6.16	97.1%	6.67	2.52
204	1 5 7 13	6.17	98%	6.56	2.09
205	3 3 3 12	6.17	96.9%	6.65	2.45
206	1 2 3 10	6.18	98.3%	6.5	1.99
207	2 13 13 13	6.18	91%	6.38	2.38
208	5 5 11 13	6.18	96.2%	6.82	2.58
209	10 13 13 13	6.18	93.5%	6.66	2.84
210	10 10 11 12	6.19	93.4%	6.55	2.31
211	2 11 11 11	6.2	89.7%	6.28	2.49
212	3 3 3 6	6.2	97.7%	6.76	2.58
213	1 2 3 8	6.21	97%	6.62	2.38
214	1 4 7 8	6.21	96.7%	6.73	2.72
215	1 5 5 12	6.21	90.4%	6.43	2.37
216	2 3 11 12	6.21	94.8%	6.77	2.77
217	8 8 11 12	6.21	90.8%	6.58	2.67
218	11 12 13 13	6.22	95.3%	6.71	2.45
219	1 2 2 8	6.23	93.4%	6.7	2.66
220	5 5 5 6	6.23	96.2%	6.68	2.32
221	1 10 12 12	6.24	95.9%	6.82	2.88
222	1 8 10 13	6.25	94.7%	6.59	2.4
223	1 2 13 13	6.26	97.2%	6.97	2.72
224	1 1 5 7	6.27	96.6%	6.61	2.11
225	1 4 6 8	6.27	94.7%	6.64	2.55
226	1 4 8 8	6.27	96.6%	6.74	2.48
227	7 7 12 13	6.27	93.8%	6.7	2.38
228	1 3 11 11	6.28	97.3%	6.68	2.41
229	2 2 4 5	6.28	98.3%	6.64	2.1
230	1 5 10 10	6.29	97.3%	6.67	2.3
231	3 11 11 12	6.29	91.2%	6.51	2.2
232	1 2 3 12	6.3	96.3%	6.84	2.54
233	2 7 8 12	6.3	95.1%	6.76	2.57
234	6 7 11 12	6.3	96.9%	6.85	2.59
235	2 2 2 8	6.31	96.4%	6.88	2.73
236	4 4 5 6	6.31	95.7%	6.63	2.26
237	4 4 10 13	6.31	93.5%	6.78	2.8
238	4 6 12 13	6.31	93.7%	6.79	2.83
239	4 7 12 12	6.31	88.6%	6.69	2.98
240	7 9 11 11	6.33	95.8%	6.82	2.66
241	9 9 12 13	6.33	94%	6.66	2.2
242	1 2 10 11	6.34	97.7%	6.69	2.4
243	1 4 12 12	6.36	91.2%	6.59	2.5
244	2 12 12 13	6.36	95.6%	6.75	2.39
245	3 6 7 8	6.36	97.9%	6.77	2.3
246	4 8 9 9	6.36	90.4%	6.54	2.32
247	1 2 12 12	6.37	96%	6.7	2.18
248	1 4 4 5	6.37	96.8%	6.91	2.7
249	1 5 8 9	6.38	94.2%	6.86	2.69
250	2 12 12 12	6.38	98.4%	6.78	2.46
251	1 5 7 8	6.39	94.8%	6.78	2.46
252	1 3 8 9	6.41	92.3%	7.01	3.35
253	1 6 6 13	6.41	97.4%	6.83	2.46
254	2 8 11 11	6.41	88.7%	6.58	2.77
255	1 2 8 8	6.42	96.1%	6.98	2.7
256	2 6 6 12	6.43	97.7%	6.98	2.57
257	3 6 10 11	6.43	95.8%	7.09	2.88
258	1 3 6 6	6.44	97.2%	6.93	2.6
259	1 8 8 9	6.44	96.3%	6.96	2.72
260	2 5 6 12	6.44	95.2%	6.84	2.53
261	3 7 9 9	6.44	91.2%	6.9	2.82
262	3 12 13 13	6.44	91.1%	6.64	2.31
263	10 10 10 13	6.44	93%	6.87	2.99
264	6 6 11 12	6.45	89%	6.77	2.96
265	8 8 8 10	6.45	90.4%	6.8	2.95
266	1 1 3 11	6.46	94.5%	6.71	1.99
267	2 11 13 13	6.46	94.3%	6.93	2.55
268	4 5 9 9	6.47	88.3%	6.72	2.78
269	4 5 13 13	6.47	87.8%	6.73	2.86
270	1 3 3 7	6.49	96%	7.3	3.33
271	2 8 10 11	6.49	94.9%	7	2.67
272	10 11 11 13	6.49	94.7%	6.89	2.6
273	1 6 7 11	6.5	97.5%	7.11	2.88
274	1 6 9 9	6.5	97.5%	6.93	2.52
275	12 13 13 13	6.5	94.6%	6.86	2.43
276	1 2 4 6	6.51	95.9%	6.91	2.55
277	6 10 10 10	6.51	95.8%	6.78	2.29
278	2 3 11 13	6.52	92%	6.95	2.82
279	4 6 7 8	6.52	95.8%	6.97	2.48
280	1 4 6 13	6.53	97.6%	6.97	2.35
281	1 3 3 5	6.54	95.1%	6.83	2.49
282	2 4 5 12	6.54	94.5%	6.98	2.86
283	4 5 6 6	6.54	95.4%	6.88	2.39
284	4 4 4 4	6.55	97.9%	7.12	2.94
285	1 3 5 8	6.56	95.1%	7.21	2.92
286	1 7 8 12	6.56	95.5%	6.99	2.65
287	1 9 12 12	6.56	92.6%	6.94	2.82
288	3 4 5 8	6.56	96.3%	7.03	2.66
289	1 4 4 7	6.57	96.1%	7.29	3.19
290	3 5 11 11	6.57	94.6%	7.09	2.98
291	3 9 9 12	6.57	94.9%	7	2.63
292	1 4 7 13	6.58	96.6%	7.23	2.93
293	2 10 11 12	6.59	95.8%	6.9	2.42
294	3 10 10 12	6.59	94.4%	6.95	2.35
295	5 6 6 7	6.59	97.8%	7.06	2.4
296	2 2 2 11	6.6	92.2%	6.94	2.78
297	2 8 8 13	6.6	92.9%	7.03	2.63
298	3 7 13 13	6.6	87.4%	6.74	2.77
299	4 6 11 12	6.6	92.9%	7	2.92
300	1 5 10 12	6.61	92.2%	7.04	3.09
301	2 3 4 6	6.61	97.7%	7.03	2.31
302	3 7 7 12	6.61	90.1%	6.79	2.59
303	1 3 13 13	6.64	97%	7.17	2.61
304	1 5 8 10	6.64	96.5%	7.16	2.56
305	1 7 7 11	6.64	96.9%	7.21	2.63
306	2 2 8 12	6.64	98.1%	7.09	2.32
307	7 8 11 12	6.64	96.2%	7.11	2.68
308	1 2 5 6	6.65	94.2%	7.14	2.74
309	1 3 3 9	6.65	96.8%	7.2	2.85
310	1 6 8 10	6.65	97.1%	7.07	2.43
311	1 2 10 13	6.66	97%	7.16	2.72
312	1 10 11 12	6.66	94.7%	7.07	2.54
313	3 7 11 11	6.66	88.1%	6.9	3.12
314	4 6 12 12	6.66	96.9%	7.13	2.49
315	1 2 3 6	6.67	97.1%	7.11	2.42
316	2 8 9 12	6.68	95.2%	7.1	2.76
317	9 9 10 13	6.69	90.9%	6.89	2.68
318	3 8 9 10	6.7	96.2%	7.05	2.54
319	1 12 12 12	6.71	93.6%	6.93	2.57
320	4 4 12 13	6.71	92%	7.1	2.61
321	1 2 5 5	6.72	95.2%	7.24	2.94
322	1 3 3 3	6.72	95.7%	7.12	2.54
323	2 2 5 5	6.72	93.4%	7.1	2.48
324	3 6 6 7	6.72	93.7%	7.19	2.73
325	4 4 5 5	6.72	93.2%	7.19	2.59
326	1 9 11 12	6.73	93.6%	7.17	3.04
327	2 5 6 11	6.73	96.2%	7.2	2.62
328	5 6 7 7	6.73	87.8%	6.91	2.76
329	5 7 10 12	6.73	96.8%	7.21	2.47
330	1 1 2 7	6.74	95.5%	6.97	2.08
331	1 4 8 13	6.75	97.4%	7.12	2.45
332	3 3 3 3	6.75	95.9%	7.47	3.38
333	1 5 6 6	6.76	93.7%	7.44	3.38
334	3 4 10 13	6.76	96.6%	7.24	2.84
335	6 7 12 13	6.76	95.5%	7.25	2.76
336	6 8 10 12	6.76	97.3%	7.31	2.79
337	3 3 5 6	6.77	96.4%	7.36	2.67
338	4 5 11 11	6.78	87.3%	7.25	3.63
339	1 2 5 7	6.8	95.1%	7.13	2.66
340	2 2 2 4	6.8	96%	7.13	2.48
341	5 7 11 11	6.81	96.1%	7.24	2.66
342	1 1 2 9	6.82	94.7%	7.13	2.33
343	3 3 12 13	6.82	93.4%	7.26	2.66
344	8 9 11 12	6.82	95.1%	7.48	3.05
345	2 2 2 13	6.83	93.5%	7.16	2.76
346	2 11 11 13	6.83	94.9%	7.32	2.84
347	3 4 5 7	6.83	96.7%	7.33	2.66
348	4 8 8 8	6.83	94.6%	7.2	2.77
349	1 1 6 12	6.84	91.1%	7.48	3.43
350	1 6 8 11	6.84	97.8%	7.31	2.47
351	2 3 12 13	6.84	95.8%	7.32	2.65
352	11 12 12 13	6.84	97.1%	7.43	2.68
353	1 2 11 13	6.85	93.5%	7.47	3.12
354	1 6 6 10	6.85	93.6%	7.23	3.13
355	2 4 4 8	6.85	96.6%	7.27	2.67
356	2 6 6 8	6.85	95.7%	7.43	2.97
357	4 7 7 7	6.86	88.9%	7.07	3.03
358	7 7 10 13	6.86	89.8%	7.16	3.16
359	7 9 13 13	6.87	96.3%	7.44	2.77
360	1 3 4 4	6.88	93.4%	7.21	3.07
361	2 4 13 13	6.88	95.7%	7.42	2.75
362	4 5 7 7	6.88	91.1%	7.51	3.59
363	1 1 3 5	6.89	95.3%	7.23	2.34
364	5 6 13 13	6.89	87%	6.98	2.72
365	7 8 12 13	6.89	96.6%	7.36	2.61
366	1 1 4 9	6.9	93.4%	7.09	2.31
367	4 4 4 8	6.9	96.3%	7.47	2.86
368	9 11 11 11	6.9	95.5%	7.25	2.74
369	1 3 6 7	6.91	96.2%	7.32	2.78
370	1 9 10 12	6.91	93.8%	7.27	2.78
371	3 3 3 10	6.91	94.3%	7.5	3.23
372	4 7 10 11	6.92	97.1%	7.47	2.73
373	4 7 13 13	6.93	87.7%	7.16	3.02
374	8 9 10 13	6.93	96%	7.43	2.69
375	9 10 11 12	6.93	96.1%	7.45	2.78
376	1 2 2 11	6.94	97.1%	7.51	2.96
377	2 8 12 12	6.94	95.2%	7.32	2.63
378	3 8 8 9	6.94	95.5%	7.28	2.54
379	5 5 10 10	6.94	87%	7.27	3.15
380	6 9 12 12	6.94	89.3%	7.5	3.69
381	8 9 12 13	6.94	96.1%	7.42	2.68
382	4 7 8 8	6.95	94.3%	7.36	2.56
383	2 5 5 13	6.96	92.1%	7.39	2.82
384	6 8 11 11	6.96	94.1%	7.52	3.1
385	4 6 9 10	6.97	93.9%	7.5	3.23
386	11 11 12 13	6.98	95%	7.42	2.49
387	1 3 10 11	6.99	96.2%	7.64	3.13
388	1 11 12 12	6.99	94.2%	7.54	3.18
389	2 6 10 12	6.99	95.3%	7.47	2.81
390	4 4 4 12	7	96.6%	7.45	2.91
391	4 5 10 10	7	91%	7.34	3.12
392	8 8 10 13	7	90.6%	7.43	3.12
393	1 2 11 12	7.01	96.9%	7.69	3.18
394	1 3 5 13	7.01	94.4%	7.44	2.7
395	2 2 12 13	7.01	92.4%	7.31	2.66
396	2 4 5 8	7.01	95.2%	7.4	2.79
397	2 6 7 13	7.01	96.7%	7.42	2.68
398	5 6 9 9	7.01	90.5%	7.28	2.74
399	6 7 10 13	7.02	96.5%	7.56	2.79
400	1 2 6 7	7.03	95.3%	7.39	2.56
401	2 9 9 11	7.03	87.4%	7.04	2.73
402	3 6 9 9	7.03	94%	7.59	3.23
403	1 8 8 11	7.04	93.4%	7.51	3.47
404	2 5 5 8	7.04	88.2%	7.24	3.22
405	3 3 3 7	7.04	92%	7.44	3.2
406	1 3 7 13	7.05	96.9%	7.43	2.63
407	2 3 5 5	7.05	96.2%	7.57	2.9
408	1 7 8 11	7.06	92.6%	7.44	3.08
409	1 6 8 8	7.07	93%	7.4	2.98
410	1 8 8 10	7.07	92.2%	7.43	3
411	2 6 7 12	7.07	92.2%	7.27	2.97
412	6 8 8 8	7.07	88.1%	7.5	3.55
413	8 8 12 13	7.07	92.2%	7.39	2.66
414	2 5 12 12	7.08	83.5%	7.41	4.1
415	5 5 10 13	7.08	89.8%	7.44	3.31
416	2 9 9 13	7.09	88.8%	7.17	2.56
417	3 6 6 12	7.09	95.5%	7.77	2.98
418	1 1 8 8	7.1	89.5%	7.54	3.74
419	1 7 7 9	7.1	96.2%	7.49	2.87
420	3 3 4 4	7.1	94.3%	7.45	2.67
421	3 5 5 6	7.1	89.3%	7.37	3.16
422	3 7 12 13	7.1	93.9%	7.62	3.09
423	1 3 10 12	7.11	96.5%	7.58	2.75
424	2 3 3 13	7.11	94.1%	7.68	2.98
425	5 5 13 13	7.11	85.4%	7.33	3.18
426	8 10 11 11	7.11	94.9%	7.53	2.78
427	1 2 3 5	7.12	95.4%	7.43	2.39
428	5 5 6 6	7.12	93%	7.58	2.87
429	2 5 9 12	7.13	95.5%	7.59	2.89
430	4 6 6 8	7.13	97.3%	7.62	2.62
431	5 6 11 11	7.13	87.2%	7.34	3.25
432	9 12 12 12	7.14	82.1%	7.14	3.73
433	1 3 9 11	7.15	94.9%	7.65	3.09
434	2 2 10 13	7.15	89.9%	7.35	3.09
435	3 4 11 12	7.15	95.2%	7.79	3.39
436	4 8 11 12	7.15	93%	7.73	3.21
437	5 5 11 11	7.15	85.7%	7.37	3.33
438	8 8 9 11	7.15	89.5%	7.7	3.74
439	1 5 6 9	7.16	92.1%	7.62	3.47
440	10 10 12 13	7.16	92.1%	7.46	2.61
441	1 2 2 13	7.18	96.5%	7.69	3.1
442	2 6 10 10	7.18	95.9%	7.69	3.02
443	2 8 8 8	7.18	93.9%	7.75	3.34
444	1 3 4 11	7.19	95.9%	7.72	2.93
445	1 7 10 12	7.19	92.8%	7.61	3.09
446	1 10 12 13	7.19	94.3%	7.54	2.87
447	2 7 7 13	7.19	86.2%	7.29	3.03
448	2 9 10 12	7.2	93.9%	7.56	2.87
449	6 6 6 11	7.21	89%	7.48	3.44
450	6 6 12 13	7.21	90.3%	7.64	3.11
451	1 2 4 10	7.22	96.2%	7.71	3.19
452	3 7 7 9	7.22	86.6%	7.27	2.94
453	4 5 11 13	7.22	90.4%	7.65	3.29
454	4 7 12 13	7.22	92.3%	7.79	3.41
455	3 7 11 12	7.23	90.7%	7.74	3.49
456	5 9 10 10	7.23	92.8%	7.64	3.1
457	1 2 7 10	7.24	91%	7.95	4.11
458	3 8 8 12	7.24	91.6%	7.73	3.16
459	1 5 9 9	7.25	94.3%	7.78	3.17
460	3 4 5 12	7.25	97%	7.66	2.69
461	4 8 10 12	7.25	95.7%	7.77	2.9
462	2 2 7 13	7.26	96.2%	7.67	2.93
463	1 3 4 5	7.27	97.5%	7.75	2.51
464	1 6 6 9	7.29	90.4%	7.8	3.35
465	3 5 5 12	7.29	89%	7.64	3.33
466	3 6 11 12	7.29	93.5%	7.77	3.16
467	3 9 10 11	7.3	93.2%	7.69	2.97
468	5 5 7 8	7.3	92.6%	7.78	3
469	5 6 11 13	7.3	91.7%	7.8	3.35
470	1 1 6 8	7.31	94.9%	7.65	2.53
471	1 3 7 8	7.31	89.2%	7.5	3.53
472	1 6 8 13	7.31	94.5%	7.74	2.85
473	2 6 7 9	7.31	96%	7.82	3.02
474	5 10 11 11	7.31	90.4%	7.56	2.82
475	1 8 9 11	7.32	92.9%	7.66	3.09
476	3 5 13 13	7.32	94.2%	7.79	3.09
477	7 9 10 12	7.32	94.1%	7.88	3.22
478	10 12 12 13	7.32	90.1%	7.77	3.55
479	2 2 3 9	7.33	94.6%	7.79	2.9
480	2 3 3 11	7.33	89.5%	7.59	3.25
481	4 7 11 11	7.33	86.4%	7.48	3.43
482	7 8 8 9	7.34	86.5%	7.75	3.91
483	1 7 9 13	7.35	93.7%	7.59	2.58
484	2 4 10 12	7.36	96.6%	8.04	3.19
485	3 4 8 10	7.36	93.5%	7.73	3.21
486	4 5 5 8	7.36	87.9%	7.5	2.97
487	7 10 10 11	7.36	93.5%	7.71	2.98
488	1 12 12 13	7.37	94.3%	7.86	3.19
489	4 4 5 8	7.37	95.9%	7.73	2.56
490	2 7 8 13	7.38	94%	7.89	3.13
491	3 6 6 6	7.38	94.4%	7.83	3.21
492	5 5 9 9	7.38	85.3%	7.66	3.45
493	10 11 11 12	7.38	96.8%	7.84	2.79
494	1 8 11 12	7.39	91.5%	7.92	3.51
495	3 3 9 9	7.4	95.9%	7.75	2.8
496	3 5 6 8	7.4	93.6%	7.9	3.2
497	5 6 8 8	7.4	92.1%	7.78	2.97
498	2 3 7 12	7.41	94.7%	7.87	3.07
499	3 3 4 5	7.41	93.9%	7.87	3.23
500	5 8 8 10	7.41	91.4%	7.89	3.44
501	3 6 8 8	7.43	92.7%	7.74	2.96
502	3 9 11 11	7.43	85.7%	7.62	3.35
503	2 5 6 8	7.44	95.5%	7.97	3.04
504	1 11 12 13	7.45	94.1%	7.89	3.24
505	6 8 13 13	7.45	93.2%	7.89	3.08
506	2 2 4 7	7.47	95.2%	8.11	3.15
507	1 2 3 7	7.48	96.2%	8.17	3.18
508	3 5 10 12	7.48	94.8%	8.05	3.18
509	5 5 10 11	7.48	87.8%	7.85	3.55
510	1 4 4 4	7.49	95.8%	7.96	2.9
511	2 6 9 11	7.49	95.7%	8	3.15
512	2 10 10 11	7.5	85.1%	7.34	2.96
513	6 6 6 9	7.51	89.7%	8.08	3.95
514	1 2 2 4	7.52	95.7%	7.85	2.43
515	2 4 8 10	7.52	97.8%	8	2.63
516	2 6 6 6	7.52	95.9%	8.09	3.1
517	4 4 4 7	7.52	91.3%	7.92	3.44
518	1 2 3 9	7.53	96.3%	8.05	3.13
519	1 5 5 6	7.53	94.9%	8.06	3.13
520	1 7 9 9	7.53	94.6%	7.97	3.18
521	2 10 10 13	7.53	89.9%	7.72	2.94
522	3 3 10 13	7.53	89.3%	7.81	3.54
523	3 4 4 7	7.54	90.4%	8.01	3.48
